,Unnamed: 0,Satellite Name,Launch Date,Launch Site,lat,lon,weather,temperature
0,0,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
1,1,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
2,2,COSMOS 2543,25 November 2019 17:52,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
3,3,COSMOS 2543 (GLONASS,11 December 2019 08:54,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
4,4,FREGAT R/B,11 December 2019 08:54,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
5,5,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
6,6,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
7,7,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
8,8,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
9,9,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
10,10,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
11,11,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
12,12,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
13,13,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
14,14,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
15,15,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
16,16,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927545,40.575023,few clouds,39.0
17,17,FLOCK 4P 12,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
18,18,FLOCK 4P 4,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
19,19,FLOCK 4P 3,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
20,20,FLOCK 4P 1,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
21,21,FLOCK 4P 8,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
22,22,FLOCK 4P 7,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
23,23,FLOCK 4P 6,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
24,24,FLOCK 4P 5,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
25,25,TYVAK-0092,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
26,26,Tyvak-0129,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
27,27,OBJECT C,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
28,28,LEMUR 2 JPGSQUARED,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
29,29,QPS-SAR-1 IZANAGI,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
30,30,RISAT-2BR1,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
31,31,OBJECT G,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
32,32,IHOPSAT-TD,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
33,33,LEMUR 2 HIMOMANDDAD,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
34,34,LEMUR 2 PAPPY,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
35,35,PSLV R/B,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
36,36,LEMUR 2 THEODOSIA,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999998,broken clouds,95.0
37,37,GAOFEN 12,27 November 2019 23:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
38,38,CZ-4C R/B,27 November 2019 23:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
39,39,JILIN-01 GAOFEN 2B,07 December 2019 02:55,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
40,40,KZ-1A R/B,07 December 2019 02:55,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
41,41,OBJECT A,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
42,42,OBJECT B,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
43,43,OBJECT C,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
44,44,OBJECT D,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
45,45,OBJECT E,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
46,46,OBJECT F,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
47,47,KZ-1A R/B,07 December 2019 08:52,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
48,48,OBJECT A,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
49,49,OBJECT B,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
50,50,OBJECT C,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
51,51,OBJECT D,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
52,52,CBERS 4A,20 December 2019 03:22,"Taiyuan Space Launch Center, China",38.84883,111.60818,few clouds,65.0
